,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary
0,50485788,False,"Тестировщик, QA autom",,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 180000, 'to': 240000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Варшавское шоссе', 'building': '26', 'description': None, 'lat': 55.684503, 'lng': 37.621947, 'raw': 'Москва, Варшавское шоссе, 26', 'metro': None, 'metro_stations': [], 'id': '2594166'}",,,2021-12-15T16:22:08+0300,2021-12-15T16:22:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=50485788,,https://api.hh.ru/vacancies/50485788?host=hh.ru,https://hh.ru/vacancy/50485788,[],"{'id': '3649870', 'name': 'Right Line', 'url': 'https://api.hh.ru/employers/3649870', 'alternate_url': 'https://hh.ru/employer/3649870', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/762293.png', '90': 'https://hhcdn.ru/employer-logo/3490129.png', '240': 'https://hhcdn.ru/employer-logo/3490130.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3649870', 'trusted': True}","{'requirement': 'Опыт в области автоматизации функционального тестирования от 2,5 лет. Знание процесса разработки ПО и теории тестирования. Понимание видов автоматизированного...', 'responsibility': 'Самостоятельно проводить функциональное, регрессионное, интеграционное и другие виды тестирования. Уметь находить и анализировать логи, на основании анализа понимать, на чьей...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
1,50442760,True,QA Engineer на проект Kwork (ручное тестирование),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 140000, 'to': 160000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-14T12:28:37+0300,2021-12-14T12:28:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=50442760,,https://api.hh.ru/vacancies/50442760?host=hh.ru,https://hh.ru/vacancy/50442760,[],"{'id': '1207711', 'name': 'Мирафокс', 'url': 'https://api.hh.ru/employers/1207711', 'alternate_url': 'https://hh.ru/employer/1207711', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/596299.JPG', '90': 'https://hhcdn.ru/employer-logo/2826451.jpeg', '240': 'https://hhcdn.ru/employer-logo/2826452.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1207711', 'trusted': True}","{'requirement': 'Опыт работы <highlighttext>специалистом</highlighttext> <highlighttext>по</highlighttext> <highlighttext>тестированию</highlighttext> или системным аналитиком от 6 месяцев. Аналитический склад ума. Внимательность и перфекционизм. Самостоятельность и высокая...', 'responsibility': 'Ручное тестирование веб-приложений. Составление баг-репортов и контроль выполнения. Взаимодействие с руководителем проекта и командой разработчиков.'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
2,44909267,False,Младший инженер по качеству ПО / Junior QA Engineer (стажёр),,True,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 80000, 'to': 120000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-16T11:39:26+0300,2021-12-16T11:39:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=44909267,,https://api.hh.ru/vacancies/44909267?host=hh.ru,https://hh.ru/vacancy/44909267,[],"{'id': '15092', 'name': 'Veeam Software', 'url': 'https://api.hh.ru/employers/15092', 'alternate_url': 'https://hh.ru/employer/15092', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/3940568.png', '90': 'https://hhcdn.ru/employer-logo/3940567.png', 'original': 'https://hhcdn.ru/employer-logo-original/874923.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=15092', 'trusted': True}","{'requirement': '...опытом в <highlighttext>QA</highlighttext> и IT. Введение в тестирование программного обеспечения (ПО). Жизненный цикл ПО, виды тестирования, роль <highlighttext>тестировщика</highlighttext> в процессе...', 'responsibility': None}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False
3,50479651,False,Тестировщик ПО,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 70000, 'to': 120000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-15T13:56:38+0300,2021-12-15T13:56:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=50479651,,https://api.hh.ru/vacancies/50479651?host=hh.ru,https://hh.ru/vacancy/50479651,[],"{'id': '4589539', 'name': 'Цифровая бухгалтерия', 'url': 'https://api.hh.ru/employers/4589539', 'alternate_url': 'https://hh.ru/employer/4589539', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4589539', 'trusted': True}","{'requirement': 'Больше года работает в тестировании или <highlighttext>QA</highlighttext>. Имеет опыт тестирования мобильных приложений. Знает теорию тестирования, понимает процесс разработки. ', 'responsibility': 'Тестировать API и мобильные приложения (iOS и Android), интеграции с внешними сервисами на соответствие функциональным и нефункциональным требованиям. '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
4,49823296,False,QA Engineer / Тестировщик ПО,,True,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 45000, 'to': 90000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-16T10:37:26+0300,2021-12-16T10:37:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=49823296,,https://api.hh.ru/vacancies/49823296?host=hh.ru,https://hh.ru/vacancy/49823296,[],"{'id': '3255952', 'name': 'Matryoshka Games', 'url': 'https://api.hh.ru/employers/3255952', 'alternate_url': 'https://hh.ru/employer/3255952', 'logo_urls': {'240': 'https://hhcdn.ru/employer-logo/2678990.png', '90': 'https://hhcdn.ru/employer-logo/2678989.png', 'original': 'https://hhcdn.ru/employer-logo-original/559379.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3255952', 'trusted': True}","{'requirement': 'Большой игровой опыт на мобильных платформах. Грамотная письменная и устная речь. Желание развиваться в геймдеве. Понимание базовых принципов тестирования. ', 'responsibility': '...баг-репортов в баг-трекинговой системе Jira. Разработка, актуализация и оформление тестовой документации: чек-листы, тест-планы, процессная документация <highlighttext>QA</highlighttext>.'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
5,50442649,True,QA Engineer на проект Kwork (ручное тестирование),,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 140000, 'to': 160000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-14T12:26:05+0300,2021-12-14T12:26:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=50442649,,https://api.hh.ru/vacancies/50442649?host=hh.ru,https://hh.ru/vacancy/50442649,[],"{'id': '1207711', 'name': 'Мирафокс', 'url': 'https://api.hh.ru/employers/1207711', 'alternate_url': 'https://hh.ru/employer/1207711', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/596299.JPG', '90': 'https://hhcdn.ru/employer-logo/2826451.jpeg', '240': 'https://hhcdn.ru/employer-logo/2826452.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1207711', 'trusted': True}","{'requirement': 'Опыт работы <highlighttext>специалистом</highlighttext> <highlighttext>по</highlighttext> <highlighttext>тестированию</highlighttext> или системным аналитиком от 6 месяцев. Аналитический склад ума. Внимательность и перфекционизм. Самостоятельность и высокая...', 'responsibility': 'Ручное тестирование веб-приложений. Составление баг-репортов и контроль выполнения. Взаимодействие с руководителем проекта и командой разработчиков.'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False
6,49685851,False,Middle QA Engineer | Тестировщик,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 200000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-13T16:21:56+0300,2021-12-13T16:21:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=49685851,,https://api.hh.ru/vacancies/49685851?host=hh.ru,https://hh.ru/vacancy/49685851,[],"{'id': '4947907', 'name': 'НМ Технолоджис', 'url': 'https://api.hh.ru/employers/4947907', 'alternate_url': 'https://hh.ru/employer/4947907', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4947907', 'trusted': True}","{'requirement': 'Иметь желание ещё больше развиваться в предметной области, разбираться в функционале приложений. Ожидания от квалификации: — Опыт работы коммерческого тестирования от...', 'responsibility': 'Проводить ручное тестирование нового функционала, выполнять регрессионное тестирование, запускать набор авто-тестов. — Писать документацию. — Консультировать разработчиков.'}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False
7,50411410,False,QA engineer / Тестировщик ПО,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Варшавское шоссе', 'building': '118к1', 'description': None, 'lat': 55.631768, 'lng': 37.618022, 'raw': 'Москва, Варшавское шоссе, 118к1', 'metro': None, 'metro_stations': [], 'id': '113125'}",,,2021-12-16T13:26:42+0300,2021-12-16T13:26:42+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=50411410,,https://api.hh.ru/vacancies/50411410?host=hh.ru,https://hh.ru/vacancy/50411410,[],"{'id': '76650', 'name': 'iiko, Компания Aйко', 'url': 'https://api.hh.ru/employers/76650', 'alternate_url': 'https://hh.ru/employer/76650', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/214881.png', '90': 'https://hhcdn.ru/employer-logo/591608.png', '240': 'https://hhcdn.ru/employer-logo/591609.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=76650', 'trusted': True}","{'requirement': 'Образование высшее (IT). Опыт работы в тестировании и минимальный опыт разработки на C#. Огромное желание работать в области тестирования ПО...', 'responsibility': 'Слаженный коллектив, не чурающийся новых технологий и веяний, но при этом не преследующий инновации ради инноваций. Отлаженный процесс автоматического тестирования...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False
8,50412321,False,"QA Engineer (mobile apps, manual) / Тестировщик, ручное тестирование мобильных приложений",,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 180000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-16T13:45:23+0300,2021-12-16T13:45:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=50412321,,https://api.hh.ru/vacancies/50412321?host=hh.ru,https://hh.ru/vacancy/50412321,[],"{'id': '5356532', 'name': 'Devquality', 'url': 'https://api.hh.ru/employers/5356532', 'alternate_url': 'https://hh.ru/employer/5356532', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5356532', 'trusted': True}","{'requirement': 'Командный игрок. Вдумчивый, внимательный к деталям, с аналитическим мышлением. Готов нести ответственность за свои решения. Владеешь методологией разработки Scrum. ', 'responsibility': 'Выявлять и анализировать ошибки приложений. Документировать дефекты, проверять исправления. Функциональный <highlighttext>тестировщик</highlighttext>. Изучение систем, анализ документации, написание тестовых сценариев, тестирование, фиксация...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True
9,50412322,False,"QA Engineer (mobile apps, manual)/ Тестировщик, ручное тестирование мобильных приложений",,False,False,"{'id': '4', 'name': 'Новосибирск', 'url': 'https://api.hh.ru/areas/4'}","{'from': 120000, 'to': 180000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2021-12-16T13:45:23+0300,2021-12-16T13:45:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=50412322,,https://api.hh.ru/vacancies/50412322?host=hh.ru,https://hh.ru/vacancy/50412322,[],"{'id': '5356532', 'name': 'Devquality', 'url': 'https://api.hh.ru/employers/5356532', 'alternate_url': 'https://hh.ru/employer/5356532', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5356532', 'trusted': True}","{'requirement': 'Командный игрок. Вдумчивый, внимательный к деталям, с аналитическим мышлением. Готов нести ответственность за свои решения. Владеешь методологией разработки Scrum. ', 'responsibility': 'Выявлять и анализировать ошибки приложений. Документировать дефекты, проверять исправления. Функциональный <highlighttext>тестировщик</highlighttext>. Изучение систем, анализ документации, написание тестовых сценариев, тестирование, фиксация...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True
